,Class ID,Preferred Label,Synonyms,Definitions,Parents
2998,http://edamontology.org/operation_3925,Network visualisation,Network rendering|Protein interaction network rendering|Protein interaction network visualisation,Render (visualise) a network - typically a biological network of some sort.,http://edamontology.org/operation_0337|http://edamontology.org/operation_3927
2999,http://edamontology.org/operation_3926,Pathway visualisation,Pathway rendering,Render (visualise) a biological pathway.,http://edamontology.org/operation_0337|http://edamontology.org/operation_3928
3000,http://edamontology.org/operation_3927,Network analysis,Biological network analysis|Network comparison|Biological network prediction|Network topology simulation|Network simulation|Network modelling|Network prediction|Biological network modelling,"Generate, process or analyse a biological network.",http://edamontology.org/operation_2945
3001,http://edamontology.org/operation_3928,Pathway analysis,Biological pathway analysis|Pathway simulation|Pathway modelling|Pathway comparison|Functional pathway analysis|Pathway prediction|Biological pathway modelling|Biological pathway prediction,"Generate, process or analyse a biological pathway.",http://edamontology.org/operation_2945
3002,http://edamontology.org/operation_3929,Metabolic pathway prediction,,Predict a metabolic pathway.,http://edamontology.org/operation_3928|http://edamontology.org/operation_2423
3003,http://edamontology.org/operation_3931,Chemometrics,,"Interdisciplinary science focused on extracting information from chemical systems by data analytical approaches, for example multivariate statistics, applied mathematics, and computer science.",http://edamontology.org/topic_2258
3004,http://edamontology.org/operation_3933,Demultiplexing,Sequence demultiplexing,"Assigning sequence reads to separate groups / files based on their index tag (sample origin).|NGS sequence runs are often performed with multiple samples pooled together.  In such cases, an index tag (or ""barcode"") - a unique sequence of between 6 and 12bp - is ligated to each sample's genetic material so that the sequence reads from different samples can be identified. The process of demultiplexing (dividing sequence reads into separate files for each index tag/sample) may be performed automatically by the sequencing hardware. Alternatively the reads may be lumped together in one file with barcodes still attached, requiring you to do the splitting using software. In such cases, a ""mapping"" file is used which indicates which barcodes correspond to which samples.",http://edamontology.org/operation_3921
3005,http://edamontology.org/operation_3935,Dimensionality reduction,Dimension reduction,"A process used in statistics, machine learning, and information theory that reduces the number of random variables by obtaining a set of principal variables.",http://edamontology.org/operation_3438
3006,http://edamontology.org/operation_3936,Feature selection,Attribute selection|Variable selection|Variable subset selection,"A dimensionality reduction process that selects a subset of relevant features (variables, predictors) for use in model construction.",http://edamontology.org/operation_3935
3007,http://edamontology.org/operation_3937,Feature extraction,Feature projection,"A dimensionality reduction process which builds (ideally) informative and non-redundant values (features) from an initial set of measured data, to aid subsequent generalization, learning or interpretation.",http://edamontology.org/operation_3935
3008,http://edamontology.org/operation_3938,Virtual screening,Ligand-based virtual screening|Structure-based screening|Ligand-based screening|Structured-based virtual screening|Virtual ligand screening,"Virtual screening is used in drug discovery to identify potential drug compounds.  It involves searching libraries of small molecules in order to identify those molecules which are most likely to bind to a drug target (typically a protein receptor or enzyme).|Virtual screening is widely used for lead identification, lead optimization, and scaffold hopping during drug design and discovery.",http://edamontology.org/operation_4009|http://edamontology.org/operation_0482
3009,http://edamontology.org/operation_3939,Metabolic engineering,,Biotechnology approach that seeks to optimize cellular genetic and regulatory processes in order to increase the cells' production of a certain substance.,http://edamontology.org/topic_3297
3010,http://edamontology.org/operation_3942,Tree dating,Speciation dating|Biogeographic dating|Species tree dating|Tree-dating,The application of phylogenetic and other methods to estimate paleogeographical events such as speciation.,http://edamontology.org/operation_0324
3011,http://edamontology.org/operation_3946,Ecological modelling,,"The development and use of mathematical models and systems analysis for the description of ecological processes, and applications such as the sustainable management of resources.",http://edamontology.org/operation_2426|http://edamontology.org/operation_0286
3012,http://edamontology.org/operation_3947,Phylogenetic tree reconciliation,Gene tree / species tree reconciliation,"Mapping between gene tree nodes and species tree nodes or branches, to analyse and account for possible differences between gene histories and species histories, explaining this in terms of gene-scale events such as duplication, loss, transfer etc.|Methods typically test for topological similarity between trees using for example a congruence index.",http://edamontology.org/operation_0325
3013,http://edamontology.org/operation_3950,Selection detection,,"The detection of genetic selection, or (the end result of) the process by which certain traits become more prevalent in a species than other traits.",http://edamontology.org/operation_2478
